id,minDice,name,description,defeatedDescription,goal,tags,def,reward,queueReward,onStart,onSuccess,onFailure,image,icon,,,
3dce07,3,Raided Storeroom,The raiders are still here!,"After defeating the raiders, you look through their spoils and realize they'd found nothing here to steal.",Claim what you can from the <b>Raided Storeroom</b>.,end series ,3c + 3c + m,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,,
3dce08,3,Plundered Gem Storage,The plush gem pillows still hold a few small pieces.,"You grab the remaining gems, hoping they have enough value to make the trip worthwhile.",Recover precious stones from the <b>Plundered Gem Storage</b>.,end series ,m + p + 3c,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,,
3dce09,3,Razed Scroll Storage,Someone destroyed whatever they couldn't steal.,"You find a few valuable items, but most of the storage has been burned to ash.",See if any documents remain in the <b>Razed Scroll Storage</b>.,end series ,m + 3c + m,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,,
3dce10,3,Raided Treasury,A few random treasures still remain.,"You take what's left of the treasury. Not a bad haul, really.",Take what remains of the <b>Raided Treasury</b>.,end series ,3c + t + p,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,,
3dce11,3,Small Raided Treasury,Very little still remains.,This treasury would have been unimpressive even if it had been full...,Claim your share of the <b>Small Raided Treasury</b>.,end ,m p t,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,,
3dce12,3,Small Raided Storeroom,It's hard to say what they could fit in a storeroom this small.,You find a secret compartment in the back of the storeroom containing a few hidden treasures.,Claim what you can from the <b>Small Raided Storeroom</b>.,end ,m p 3c,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,,
3dce13,3,Small Unlocked Vault,A very minor vault for a very minor lord.,You look through the tiny vault and take the small bit of treasure that remains.,Search inside the <b>Small Unlocked Vault</b>.,end ,p t 3c,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,,
3dce14,3,Destroyed Treasure Chamber,Something massive destroyed this chamber long ago.,"You manage to find a few undamaged, valuable objects buried beneath the rubble.",Search for valuable objects within the <b>Destroyed Treasure Chamber</b>.,end ,m t 3c,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,,
3dce15,3,Rend,"A dire bear known throughout the land, where Rend leads, others follow.","Rend is dead, its reign of terror finally over.",Defeat <b>Rend</b> and collect the creature's bounty.,end special e3dBeast01 series,3c + 3c + 3c,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,,
3dce16,3,The Snarl,"Found in the heart of the den, The Snarl rests on a makeshift bed of fur and flesh.","The Snarl defeated, the remaining alphas panic and scurry from the den.",Defeat <b>The Snarl</b> and collect the creature's bounty.,end special e3dBeast02 series,3c + t + 3c,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_wolf,end,,,
3dce17,3,Geebo,"Small in size but large in spirit, Geebo has been rallying all goblins in the area.","All of the remaining goblins exchange glances with one another, wondering what to do now that their leader is dead. For now, running and hiding seems to be the answer.",<b>Geebo</b> the goblin needs to be stopped!,end e3dGoblin01 special series,p + t + 3c,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_goblin_01,end,,,
3dce18,3,Droolmouf,The puddle around the goblin's feet gives an instant hint as to how he got his name.,"Spitting a final curse, Droolmouf falls to the ground.",Dismantle the orange-skinned army by defeating <b>Droolmouf</b>.,end e3dGoblin02 special series,t + m + 3c,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_goblin_02,end,,,
3dce19,3,Tig the Mighty,"Not the sharpest dagger in the belt, Tig the Mighty more than makes up for his simple mind with his brute strength.","""Peppermint..."" You may never know the meaning behind Tig's final word.",Face the brute strength of <b>Tig the Mighty</b>.,end e3dKobold01 special series,3c + p + 3c,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,,
3dce20,3,Meklit Spordlik,"A cunning magic-user, Meklit is small, even for a kobold.","""No! You dead! No..."" Meklit mutters as the last light leaves his eyes.",Outsmart the crafty kobold <b>Meklit Spordlik</b>.,end e3dKobold02 special series,m + 3c + m,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,,
3dce21,3,Honor Reagh,"Flipping her blades from one hand to the other, Honor smiles and motions for you to take your best shot.","She fights to the end, but ultimately is no match for your prowess.",Track down and defeat <b>Honor Reagh</b>.,end e3dRebel01 special series,3c + t + t,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_woman,end,,,
3dce22,3,Karzov,Rumor has it Karzov was behind the theft of the Crown of Neverwinter,"Sensing defeat, Karzov escapes through a hidden passage, taking the crown with him.",Find <b>Karzov</b> and recover the Crown of Neverwinter.,end e3dRebel02 special series,p + 3c + p,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_cleric,end,,,
3dce23,3,Rattleneck,"In truth, it's hard to be sure this is the original Rattleneck, what with skeletons looking so similar from one to the next.","Rattleneck's bones clatter to the ground, finally free from the curse of undeath.",Return <b>Rattleneck</b> to the grave.,end e3dUndead01 special series,p + m + 3c,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,,
3dce24,3,Gurgle,You see the zombie so named for the amount of rot and filth that constantly oozes from his mouth.,"Gurgle splashes to the ground, chunks of rotten flesh splattered on the walls.",Destroy the unholy <b>Gurgle</b>.,end e3dUndead02 special series,m + 3c + p,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_zombie_01,end,,,
