id,minDice,name,description,defeatedDescription,goal,tags,def,reward,queueReward,onStart,onSuccess,onFailure,image,icon,,
4dce05,4,Crystal Chamber,The glitter of gold reflects off of the endless prisms of this crystalline chamber.,"Everything here looks so valuable, it's hard to know what to take... Congratulations! Your quest is complete!",Unlock the secret of the <b>Crystal Chamber</b>.,end series,m p + 3c + t,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,
4dce06,4,Magic Fountain,"Creatures of all types circle the fountain, prepared to defend it from all potential thieves.","The last monster defeated, you take a sip from the fountain and feel ten years younger. So the stories were true! Congratulations! Your quest is complete!",Drink the water of life that flows from the <b>Magic Fountain</b>.,end series,m 3c + t + p,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,
4dce07,4,Shrine of Heroes,"As you reach over to touch a gem embedded in a statue of a fallen hero, you are surprised to feel a cold, marble hand on your back.","The construct defeated, you are able to take a deep breath and truly taken in the majesty of the shrine. Congratulations! Your quest is complete!",Find the truth long-since buried within the <b>Shrine of Heroes</b>.,end series,t 3c + p + m,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,
4dce08,4,Princely Tomb,"Luxurious and unnecessarily showy, the is clearly the final resting place of someone with far too much gold and far too little sense.","The ghost of the prince defeated, the corrupted tomb is yours to raid. Congratulations! Your quest is complete!",See the gaudy opulence of the <b>Princely Tomb</b>.,end series,p 3c + t + m,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,
4dce09,4,Lost Silver Mine,Veins of silver are visible in all of the surrounding walls. A clang of weapons tells you you're not the only ones to notice...,"You defeat the other would-be prospectors, claiming the silver mine for your own. Congratulations! Your quest is complete!",Legend speaks of a <b>Lost Silver Mine</b>.,end series,3c + t + m p,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,
4dce10,4,Grand Hall,This area was once used to entertain and years later many valuable items still remain.,"Every bit as rich as rumored, you take the most valuable items before leaving the hall. Congratulations! Your quest is complete!",You've heard rumors of an abandoned <b>Grand Hall</b> still filled with riches.,end series,m + t + p 3c,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,
4dce11,4,Makred the Foul,"Commanding a legion of orcish minions, Makred the Foul is a danger to all who enter this place.","All of his underlings defeated, Makred finally falls to your relentless assault.",Defeat the Eye of Gruumsh known as <b>Makred the Foul</b>.,end series special e4dOrc01,3c + m p + 3c,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,
4dce12,4,Kartok Paingiver,"A fearsome orc, Kartok Paingiver has bathed many times in the blood of his enemies.","The remaining orcs look on in terror as Kartok falls to your attack. They attack, but their heart isn't in it and they fall easily.",Do not allow <b>Kartok Paingiver</b> to leave this place alive.,end series special e4dOrc02,3c + 2t + 3c,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,
4dce13,4,Vansi Bloodscar,"Commander of the Many-Arrows orc tribe, Vansi Bloodscar is rarely caught alone.","Vansi falls, the Many-Arrow tribe suddenly finding itself without a leader.","Defeat the leader of the Many-Arrow orc tribe, <b>Vansi Bloodscar</b>.",end series special e4dOrc03,3c + 6c + 3c,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,
4dce14,4,Festersnout,You find Festersnout nose deep in his latest victim's carcass.,You step over Festersnout's corpse and look around the room. Looks like he's collected many valuable trophies over the years.,Ensure <b>Festersnout</b> his killed his last victim.,end series special e4dGnoll01,p t + 3c + 3c,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,
4dce15,4,One-Fang,"One-Fang sits in the corner, sharpening his one good tooth.","You snap the trademark tooth from One-Fang's mouth, proof of your victory.",Don't let <b>One-Fang</b> sink his teeth into any more travelers.,end series special e4dGnoll02,m 3c + p + t,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,
4dce16,4,Valindra's Pet,"The massive and terrifying spider lowers herself from a massive web, fangs dripping with venom.","Sinking your weapon deep into the spider's belly, you feel the full weight of the creature come crashing down, it's life force completely drained.",Find and defeat the massive <b>Valindra's Pet</b>.,end series special e4dSpider01,6c + m + m,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,
4dce17,4,Daughter of Lolth,"Surrounded by a sea of spiderlings, the monster known as the Daughter of Lolth tends to some freshly-laid eggs.",A million spiderlings cry out and then scatter as its mother falls lifeless to the ground.,Defeat the monster known as the <b>Daughter of Lolth</b>.,end series special e4dSpider02,p + p + 6c,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,
4dce18,4,Varin Chalgash,At the far end of the room you see the wererat that has been leading a string of recent attacks.,"With Varin dead, the constant wererat attacks should come to an end.",Put a stop to the attacks led by <b>Varin Chalgash</b>.,end series special e4dWererat01,t + t + 6c,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,
4dce19,4,Southpaw,A nimble shadow darts across the room. You suspect you've found the elusive Southpaw.,"Standing over Southpaw's lifeless body, you make a threatening gesture at the other wererats, causing them to scatter into the shadows.",Defeat <b>Southpaw</b> to collect the lucrative bounty.,end series special e4dWererat02,p + 6c + t,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,
4dce20,4,Deadeye,"You're not sure if Deadeye is practicing for a battle, or if nocking an arrow is all he remembers how to do.","His bow buried beneath his own pile of bones, you hope Deadeye can finally get some well-deserved rest.",Send <b>Deadeye</b> back to his eternal rest.,end series special e4dUndead01,t + 6c + p,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,
4dce21,4,Scorch,You assume the constant moans of torment are from leftover memories of Mount Hotenow.,The room goes silent as Scorch falls into a pile of ash on the ground.,Stop <b>Scorch</b> from forever reliving the pain of Mount Hotenow.,end series special e4dUndead02,m 3c + m + 3c,,Gateway_Challenge_T1_Reward_Test_02,,,,sca_fg_werewolf,end,,
